ID,Tab,Field,Text,Translator Notes,Context
26,Local API,intro,"The Local API is line-based JSON over TCP.

Connection pattern:
• connect to 127.0.0.1:51234
• write exactly one compact JSON request followed by a newline
• read exactly one JSON response line
• close the connection

Request shape:
{ ""method"": ""METHOD"", ""token"": ""TOKEN"", ""parameters"": { ... } }

Response shape:
{ ""ok"": true, ""result"": ... }
or
{ ""ok"": false, ""errorMessage"": ""message"" }

If you are writing a client library, build around that simple request-response pattern first. You do not need HTTP or WebSockets to get started.",Introductory text above a table.,Introductory text above a table.
27,Local API,title,Available Methods,Short heading for this help item. Keep concise.,Short heading for this help item.
27,Local API,cols[0],Method,Table column header.,Keep short and consistent.
27,Local API,cols[1],Parameters,Table column header.,Keep short and consistent.
27,Local API,cols[2],Description,Table column header.,Keep short and consistent.
27,Local API,rows[0][0],ping,Table cell content.,May contain placeholders.
27,Local API,rows[0][1],—,Table cell content.,May contain placeholders.
27,Local API,rows[0][2],Check if Aire is running. Returns the same state snapshot as get_state.,Table cell content.,May contain placeholders.
27,Local API,rows[1][0],get_state,Table cell content.,May contain placeholders.
27,Local API,rows[1][1],—,Table cell content.,May contain placeholders.
27,Local API,rows[1][2],"Current provider, model, active conversation ID, and local API status.",Table cell content.,May contain placeholders.
27,Local API,rows[2][0],show_main_window,Table cell content.,May contain placeholders.
27,Local API,rows[2][1],—,Table cell content.,May contain placeholders.
27,Local API,rows[2][2],Bring the Aire chat window to the front.,Table cell content.,May contain placeholders.
27,Local API,rows[3][0],hide_main_window,Table cell content.,May contain placeholders.
27,Local API,rows[3][1],—,Table cell content.,May contain placeholders.
27,Local API,rows[3][2],Hide the chat window to the tray.,Table cell content.,May contain placeholders.
27,Local API,rows[4][0],open_settings,Table cell content.,May contain placeholders.
27,Local API,rows[4][1],—,Table cell content.,May contain placeholders.
27,Local API,rows[4][2],Open the Settings window.,Table cell content.,May contain placeholders.
27,Local API,rows[5][0],open_browser,Table cell content.,May contain placeholders.
27,Local API,rows[5][1],—,Table cell content.,May contain placeholders.
27,Local API,rows[5][2],Open the Aire browser window.,Table cell content.,May contain placeholders.
27,Local API,rows[6][0],list_providers,Table cell content.,May contain placeholders.
27,Local API,rows[6][1],—,Table cell content.,May contain placeholders.
27,Local API,rows[6][2],All configured AI providers with IDs and names.,Table cell content.,May contain placeholders.
27,Local API,rows[7][0],create_provider,Table cell content.,May contain placeholders.
27,Local API,rows[7][1],"name?, type, apiKey?, baseUrl?, model, isEnabled?, color?, selectAfterCreate?, inheritCredentialsFromProviderId?",Table cell content.,May contain placeholders.
27,Local API,rows[7][2],Create a new provider from the local API.,Table cell content.,May contain placeholders.
27,Local API,rows[8][0],list_conversations,Table cell content.,May contain placeholders.
27,Local API,rows[8][1],—,Table cell content.,May contain placeholders.
27,Local API,rows[8][2],"All saved conversations (ID, title, date).",Table cell content.,May contain placeholders.
27,Local API,rows[9][0],create_conversation,Table cell content.,May contain placeholders.
27,Local API,rows[9][1],title?,Table cell content.,May contain placeholders.
27,Local API,rows[9][2],Create a new conversation and switch to it.,Table cell content.,May contain placeholders.
27,Local API,rows[10][0],select_conversation,Table cell content.,May contain placeholders.
27,Local API,rows[10][1],conversationId,Table cell content.,May contain placeholders.
27,Local API,rows[10][2],Switch to an existing conversation.,Table cell content.,May contain placeholders.
27,Local API,rows[11][0],get_messages,Table cell content.,May contain placeholders.
27,Local API,rows[11][1],conversationId,Table cell content.,May contain placeholders.
27,Local API,rows[11][2],All messages in a conversation.,Table cell content.,May contain placeholders.
27,Local API,rows[12][0],set_provider,Table cell content.,May contain placeholders.
27,Local API,rows[12][1],providerId,Table cell content.,May contain placeholders.
27,Local API,rows[12][2],Switch the active AI provider.,Table cell content.,May contain placeholders.
27,Local API,rows[13][0],set_provider_model,Table cell content.,May contain placeholders.
27,Local API,rows[13][1],"providerId, model",Table cell content.,May contain placeholders.
27,Local API,rows[13][2],Change the model for a provider.,Table cell content.,May contain placeholders.
27,Local API,rows[14][0],send_message,Table cell content.,May contain placeholders.
27,Local API,rows[14][1],text,Table cell content.,May contain placeholders.
27,Local API,rows[14][2],Send a message to the active conversation. Returns true when accepted.,Table cell content.,May contain placeholders.
27,Local API,rows[15][0],list_pending_approvals,Table cell content.,May contain placeholders.
27,Local API,rows[15][1],—,Table cell content.,May contain placeholders.
27,Local API,rows[15][2],Tool calls currently waiting for approval.,Table cell content.,May contain placeholders.
27,Local API,rows[16][0],wait_for_pending_approval,Table cell content.,May contain placeholders.
27,Local API,rows[16][1],timeout_seconds?,Table cell content.,May contain placeholders.
27,Local API,rows[16][2],Wait for the next pending tool approval or return null on timeout.,Table cell content.,May contain placeholders.
27,Local API,rows[17][0],approve_tool_call,Table cell content.,May contain placeholders.
27,Local API,rows[17][1],index,Table cell content.,May contain placeholders.
27,Local API,rows[17][2],Approve a pending tool call by its current list index.,Table cell content.,May contain placeholders.
27,Local API,rows[18][0],deny_tool_call,Table cell content.,May contain placeholders.
27,Local API,rows[18][1],index,Table cell content.,May contain placeholders.
27,Local API,rows[18][2],Deny a pending tool call by its current list index.,Table cell content.,May contain placeholders.
27,Local API,rows[19][0],execute_tool,Table cell content.,May contain placeholders.
27,Local API,rows[19][1],"tool, parameters, wait_for_approval?, approval_timeout_seconds?",Table cell content.,May contain placeholders.
27,Local API,rows[19][2],Run an Aire tool directly and optionally wait for approval.,Table cell content.,May contain placeholders.
27,Local API,rows[20][0],get_trace,Table cell content.,May contain placeholders.
27,Local API,rows[20][1],"afterId?, limit?",Table cell content.,May contain placeholders.
27,Local API,rows[20][2],Read tool execution trace entries for debugging.,Table cell content.,May contain placeholders.
27,Local API,rows[21][0],clear_trace,Table cell content.,May contain placeholders.
27,Local API,rows[21][1],—,Table cell content.,May contain placeholders.
27,Local API,rows[21][2],Clear the tool execution trace.,Table cell content.,May contain placeholders.
28,Local API,title,Which methods should I start with?,Short heading for this help item. Keep concise.,Short heading for this help item.
28,Local API,content,"If you are building another app that connects to Aire, start with the simpler methods first.

Recommended learning order:
• ping: confirm Aire is running and your token is valid.
• show_main_window: confirm you can trigger a visible app action.
• get_state: inspect the current conversation and provider state.
• list_conversations and get_messages: read data safely.
• send_message: perform a full request-reply round trip.
• list_pending_approvals, approve_tool_call, deny_tool_call: integrate with Aire's approval model.
• execute_tool: only after you understand the security implications and approval behavior.

In most integrations, send_message and the read-only methods are enough.",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
29,Local API,title,PowerShell Example,Short heading for this help item. Keep concise.,Short heading for this help item.
29,Local API,content,"$TOKEN = ""paste-your-token-here""
$PORT  = 51234

function Invoke-Aire {
    param([string]$Method, [hashtable]$Params = @{})
    $req = @{ method = $Method; token = $TOKEN }
    if ($Params.Count) { $req[""parameters""] = $Params }
    $client = New-Object Net.Sockets.TcpClient(""127.0.0.1"", $PORT)
    $writer = [IO.StreamWriter]::new($client.GetStream())
    $writer.AutoFlush = $true
    $reader = [IO.StreamReader]::new($client.GetStream())
    $writer.WriteLine(($req | ConvertTo-Json -Compress))
    $resp = $reader.ReadLine()
    $client.Close()
    return $resp | ConvertFrom-Json
}

# Check Aire is running and inspect state
$state = Invoke-Aire ""ping""
$state.result

# Create and select a conversation
$id = (Invoke-Aire ""create_conversation"" @{ title = ""API test"" }).result
Invoke-Aire ""select_conversation"" @{ conversationId = $id }

# Send a message (returns true when accepted)
Invoke-Aire ""send_message"" @{ text = ""Hello from PowerShell"" }

# Read the conversation messages after the turn completes
(Invoke-Aire ""get_messages"" @{ conversationId = $id }).result

# Execute a tool directly
Invoke-Aire ""execute_tool"" @{ tool = ""read_file""; parameters = @{ path = ""C:/Temp/notes.txt"" } }",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
29,Local API,intro,"This example shows the simplest useful shape for a Local API client in PowerShell. Save your token from Connections settings, paste it below, and then try ping before anything else.",Introductory text above a table.,Introductory text above a table.
30,Local API,title,Python Example,Short heading for this help item. Keep concise.,Short heading for this help item.
30,Local API,content,"import socket, json

TOKEN = ""paste-your-token-here""

def aire(method, **params):
    req = {""method"": method, ""token"": TOKEN}
    if params:
        req[""parameters""] = params
    with socket.create_connection((""127.0.0.1"", 51234)) as s:
        s.sendall((json.dumps(req, separators=("","", "":"")) + ""\n"").encode())
        return json.loads(s.makefile().readline())

state = aire(""ping"")
print(state[""result""])

conversation_id = aire(""create_conversation"", title=""API test"")[""result""]
aire(""select_conversation"", conversationId=conversation_id)
aire(""send_message"", text=""Hello from Python"")

messages = aire(""get_messages"", conversationId=conversation_id)[""result""]
print(messages)

result = aire(
    ""execute_tool"",
    tool=""read_file"",
    parameters={""path"": ""C:/Temp/notes.txt""}
)
print(result)",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
30,Local API,intro,This example uses only the Python standard library. It is a good starting point if you want to add Aire support to another local tool.,Introductory text above a table.,Introductory text above a table.
31,Local API,title,Integration Tips,Short heading for this help item. Keep concise.,Short heading for this help item.
31,Local API,content,"• Always check ok before using result. If ok is false, read the error message and handle it.
• send_message only confirms that Aire accepted the message into the active conversation. If your integration needs the final answer, follow up with get_messages or watch for approvals and trace output.
• Keep one method call per TCP connection. Connect, send, read, close.
• Start with read-only and visibility actions before using execute_tool.
• If your integration wants to cooperate with Aire's safety model, use list_pending_approvals, wait_for_pending_approval, approve_tool_call, and deny_tool_call instead of assuming every action runs immediately.
• execute_tool is powerful because it lets your code call Aire tools directly. Use it carefully.
• The API is intentionally local-only. Do not expose port 51234 to your network or the internet.
• For production-like internal tools, store the token outside source code and make ping part of your startup health check.",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
